Year,Population [Thousands]
1950,2536274.72
1951,2583816.79
1952,2630584.38
1953,2677230.36
1954,2724302.47
1955,2772242.54
1956,2821383.44
1957,2871952.28
1958,2924081.24
1959,2977824.69
1960,3033212.53
1961,3090305.28
1962,3149244.25
1963,3210271.35
1964,3273670.77
1965,3339592.69
1966,3408121.41
1967,3479053.82
1968,3551880.70
1969,3625905.51
1970,3700577.65
1971,3775790.90
1972,3851545.18
1973,3927538.70
1974,4003448.15
1975,4079087.20
1976,4154287.59
1977,4229201.26
1978,4304377.11
1979,4380585.76
1980,4458411.53
1981,4537845.78
1982,4618776.17
1983,4701530.84
1984,4786483.86
1985,4873781.80
1986,4963633.23
1987,5055636.13
1988,5148556.96
1989,5240735.12
1990,5330943.46
1991,5418758.80
1992,5504401.15
1993,5588094.84
1994,5670319.70
1995,5751474.42
1996,5831565.02
1997,5910566.30
1998,5988846.10
1999,6066867.39
2000,6145006.99
2001,6223412.16
2002,6302149.64
2003,6381408.99
2004,6461370.87
2005,6542159.38
2006,6623847.91
2007,6706418.59
2008,6789771.25
2009,6873741.05
2010,6958169.16
2011,7043008.59
2012,7128176.94
2013,7213426.45
2014,7298453.03
2015,7383008.82
